ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
247,Yes,Yes,Neither,Yes,Yes,Neither,Neither,Yes,Yes,Yes
248,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
249,Yes,Yes,No,Neither,No,No,No,No,Neither,Neither
250,Yes,No,No,Yes,No,No,No,No,Yes,No
251,Yes,Yes,Neither,Yes,Yes,Yes,Neither,Neither,Yes,Yes
252,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
253,Yes,No,No,No,No,No,No,No,No,Neither
254,Neither,Neither,No,Neither,Yes,Neither,Yes,Yes,Neither,No
255,No,Neither,Yes,Neither,Yes,No,No,Neither,No,Yes
256,Yes,No,No,No,No,No,No,No,Neither,Neither
257,Neither,Neither,No,Yes,Yes,Neither,Neither,Yes,Yes,Yes
258,No,No,No,No,Neither,Yes,Neither,Neither,No,No
259,Yes,Yes,Neither,No,Yes,Yes,Yes,Neither,Yes,Neither
260,Yes,No,Yes,Yes,Yes,Yes,No,No,Neither,No
261,Neither,Neither,Neither,Yes,Neither,Yes,Neither,Neither,Neither,No
262,Yes,Yes,No,Neither,No,No,No,No,No,Yes
263,Neither,Neither,No,Yes,Yes,No,No,Yes,No,Yes
264,Yes,Yes,Neither,Yes,Yes,No,No,Neither,Yes,Yes
265,Neither,No,No,Neither,No,No,No,Neither,Neither,No
266,Neither,No,No,No,Neither,No,No,No,No,Yes
267,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
268,Yes,Yes,Neither,Yes,Neither,No,Yes,Neither,Neither,Yes
269,No,No,No,Yes,Yes,No,No,Yes,No,Yes
270,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Neither,Yes,Neither
271,Yes,Yes,No,Yes,Yes,Yes,Neither,Yes,Yes,Yes
272,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
273,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
274,Yes,Yes,No,Yes,Neither,No,Yes,Yes,No,No
275,Neither,Yes,Neither,Neither,Neither,Yes,Yes,Yes,Neither,Yes
276,Yes,Neither,Neither,Yes,Yes,Yes,Yes,Neither,Yes,Yes
277,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Neither,Neither
